src_port,dst_port,protocol,packets_per_sec,bytes_per_sec,avg_packet_size,flow_duration_sec,src_ip_entropy,dst_port_entropy,dst_ip_entropy,new_flows_per_sec,num_distinct_src_ips,num_distinct_dst_ips,label
0,0,1,0.5,49.0,98.0,43.227,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,45.232,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,45.232,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,45.23,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,45.23,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,47.235,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,47.235,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,47.233,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,47.233,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,49.239,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,49.239,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,49.237,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,49.237,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,51.247,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,51.247,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,51.245,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,51.245,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,53.249,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,53.249,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,53.247,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,53.247,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,55.251,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,55.251,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,55.249,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,55.249,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,57.252,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,0.5,49.0,98.0,57.252,1.5,-0.0,1.5,0.0,3,3,normal
0,0,1,1.0,98.0,98.0,57.25,1.5,-0.0,1.5,0.0,3,3,normal
